date,region,product_category,product_name,sales_amount,quantity,customer_id,discount_percent,payment_method
2023-01-01T00:00:00,North,Clothing,Product_0,128.69,24,CUST_0,5,Debit
2023-01-01T01:00:00,South,Clothing,Product_1,914.12,27,CUST_1,10,Mobile
2023-01-01T02:00:00,South,Food,Product_2,677.5,27,CUST_2,0,Cash
2023-01-01T03:00:00,West,Electronics,Product_3,572.26,35,CUST_3,0,Debit
2023-01-01T04:00:00,South,Clothing,Product_4,410.51,25,CUST_4,10,Debit
2023-01-01T05:00:00,South,Books,Product_5,167.86,38,CUST_5,5,Cash
2023-01-01T06:00:00,South,Electronics,Product_6,935.61,10,CUST_6,0,Credit
2023-01-01T07:00:00,East,Clothing,Product_7,925.71,19,CUST_7,20,Cash
2023-01-01T08:00:00,East,Clothing,Product_8,701.2,41,CUST_8,0,Mobile
2023-01-01T09:00:00,South,Clothing,Product_9,534.12,23,CUST_9,20,Credit
2023-01-01T10:00:00,South,Electronics,Product_10,289.78,44,CUST_10,0,Credit
2023-01-01T11:00:00,East,Food,Product_11,708.94,11,CUST_11,10,Debit
2023-01-01T12:00:00,West,Clothing,Product_12,369.02,38,CUST_12,10,Cash
2023-01-01T13:00:00,East,Food,Product_13,28.96,28,CUST_13,20,Credit
2023-01-01T14:00:00,East,Food,Product_14,416.33,21,CUST_14,0,Debit
2023-01-01T15:00:00,South,Food,Product_15,732.03,12,CUST_15,20,Debit
2023-01-01T16:00:00,East,Clothing,Product_16,853.9,6,CUST_16,0,Credit
2023-01-01T17:00:00,North,Food,Product_17,790.43,17,CUST_17,10,Debit
2023-01-01T18:00:00,North,Food,Product_18,699.32,21,CUST_18,20,Mobile
2023-01-01T19:00:00,South,Electronics,Product_19,158.38,34,CUST_19,20,Credit
2023-01-01T20:00:00,West,Food,Product_20,15.26,18,CUST_20,15,Cash
2023-01-01T21:00:00,East,Clothing,Product_21,837.26,34,CUST_21,10,Credit
2023-01-01T22:00:00,East,Clothing,Product_22,936.82,16,CUST_22,20,Credit
2023-01-01T23:00:00,South,Food,Product_23,204.48,37,CUST_23,5,Credit
2023-01-02T00:00:00,East,Food,Product_24,490.25,14,CUST_24,20,Credit
2023-01-02T01:00:00,North,Electronics,Product_25,186.16,50,CUST_25,0,Debit
2023-01-02T02:00:00,South,Electronics,Product_26,602.77,5,CUST_26,5,Debit
2023-01-02T03:00:00,East,Clothing,Product_27,943.08,8,CUST_27,20,Cash
2023-01-02T04:00:00,West,Books,Product_28,938.99,34,CUST_28,10,Cash
2023-01-02T05:00:00,East,Food,Product_29,281.2,17,CUST_29,10,Mobile
2023-01-02T06:00:00,South,Clothing,Product_30,142.93,31,CUST_30,0,Debit
2023-01-02T07:00:00,West,Food,Product_31,700.96,28,CUST_31,5,Credit
2023-01-02T08:00:00,North,Books,Product_32,192.89,6,CUST_32,5,Debit
2023-01-02T09:00:00,South,Food,Product_33,655.56,13,CUST_33,10,Cash
2023-01-02T10:00:00,South,Food,Product_34,172.47,44,CUST_34,15,Debit
2023-01-02T11:00:00,East,Food,Product_35,51.04,32,CUST_35,15,Cash
2023-01-02T12:00:00,East,Books,Product_36,737.5,45,CUST_36,5,Debit
2023-01-02T13:00:00,South,Books,Product_37,622.31,3,CUST_37,5,Mobile
2023-01-02T14:00:00,East,Food,Product_38,359.82,8,CUST_38,15,Cash
2023-01-02T15:00:00,West,Food,Product_39,534.43,31,CUST_39,15,Debit
2023-01-02T16:00:00,North,Clothing,Product_40,468.25,4,CUST_40,10,Cash
2023-01-02T17:00:00,West,Electronics,Product_41,292.6,17,CUST_41,10,Cash
2023-01-02T18:00:00,East,Clothing,Product_42,452.5,16,CUST_42,10,Cash
2023-01-02T19:00:00,East,Clothing,Product_43,156.48,23,CUST_43,15,Debit
2023-01-02T20:00:00,South,Electronics,Product_44,411.28,12,CUST_44,15,Credit
2023-01-02T21:00:00,West,Food,Product_45,78.14,9,CUST_45,20,Credit
2023-01-02T22:00:00,South,Books,Product_46,224.42,49,CUST_46,15,Credit
2023-01-02T23:00:00,North,Books,Product_47,679.88,10,CUST_47,15,Mobile
2023-01-03T00:00:00,West,Clothing,Product_48,471.21,43,CUST_48,5,Debit
2023-01-03T01:00:00,East,Electronics,Product_49,949.72,22,CUST_49,10,Credit
2023-01-03T02:00:00,East,Books,Product_50,423.48,9,CUST_50,20,Cash
2023-01-03T03:00:00,West,Food,Product_51,21.77,29,CUST_51,0,Debit
2023-01-03T04:00:00,South,Books,Product_52,833.04,34,CUST_52,10,Cash
2023-01-03T05:00:00,West,Food,Product_53,944.51,6,CUST_53,5,Cash
2023-01-03T06:00:00,East,Food,Product_54,743.12,47,CUST_54,0,Cash
2023-01-03T07:00:00,East,Clothing,Product_55,32.26,33,CUST_55,0,Cash
2023-01-03T08:00:00,North,Clothing,Product_56,680.72,14,CUST_56,0,Credit
2023-01-03T09:00:00,West,Books,Product_57,598.07,45,CUST_57,0,Cash
2023-01-03T10:00:00,South,Clothing,Product_58,811.07,40,CUST_58,5,Credit
2023-01-03T11:00:00,South,Food,Product_59,542.77,14,CUST_59,10,Mobile
2023-01-03T12:00:00,East,Clothing,Product_60,328.99,26,CUST_60,5,Mobile
2023-01-03T13:00:00,North,Food,Product_61,407.03,50,CUST_61,15,Cash
2023-01-03T14:00:00,North,Clothing,Product_62,336.51,12,CUST_62,20,Cash
2023-01-03T15:00:00,South,Clothing,Product_63,259.72,21,CUST_63,0,Mobile
2023-01-03T16:00:00,East,Books,Product_64,613.57,9,CUST_64,0,Mobile
2023-01-03T17:00:00,West,Electronics,Product_65,989.98,16,CUST_65,15,Debit
2023-01-03T18:00:00,West,Electronics,Product_66,843.08,37,CUST_66,0,Credit
2023-01-03T19:00:00,South,Clothing,Product_67,189.23,2,CUST_67,20,Mobile
2023-01-03T20:00:00,North,Books,Product_68,122.3,25,CUST_68,10,Cash
2023-01-03T21:00:00,South,Food,Product_69,553.57,2,CUST_69,10,Credit
2023-01-03T22:00:00,South,Electronics,Product_70,987.32,35,CUST_70,10,Mobile
2023-01-03T23:00:00,South,Food,Product_71,680.19,24,CUST_71,10,Credit
2023-01-04T00:00:00,East,Electronics,Product_72,767.04,17,CUST_72,20,Debit
2023-01-04T01:00:00,East,Food,Product_73,479.41,49,CUST_73,10,Mobile
2023-01-04T02:00:00,West,Clothing,Product_74,337.37,28,CUST_74,10,Cash
2023-01-04T03:00:00,North,Food,Product_75,934.72,20,CUST_75,10,Mobile
2023-01-04T04:00:00,North,Clothing,Product_76,891.66,17,CUST_76,0,Cash
2023-01-04T05:00:00,North,Food,Product_77,607.86,50,CUST_77,5,Debit
2023-01-04T06:00:00,North,Electronics,Product_78,10.67,49,CUST_78,10,Mobile
2023-01-04T07:00:00,North,Food,Product_79,528.74,44,CUST_79,0,Cash
2023-01-04T08:00:00,East,Electronics,Product_80,821.47,9,CUST_80,10,Credit
2023-01-04T09:00:00,East,Food,Product_81,868.22,50,CUST_81,10,Mobile
2023-01-04T10:00:00,West,Books,Product_82,579.65,1,CUST_82,20,Mobile
2023-01-04T11:00:00,East,Food,Product_83,820.49,15,CUST_83,15,Mobile
2023-01-04T12:00:00,South,Clothing,Product_84,78.8,7,CUST_84,0,Cash
2023-01-04T13:00:00,North,Food,Product_85,95.47,24,CUST_85,20,Cash
2023-01-04T14:00:00,South,Clothing,Product_86,14.51,26,CUST_86,0,Mobile
2023-01-04T15:00:00,West,Food,Product_87,949.15,4,CUST_87,20,Mobile
2023-01-04T16:00:00,East,Electronics,Product_88,806.98,48,CUST_88,15,Credit
2023-01-04T17:00:00,West,Electronics,Product_89,292.66,6,CUST_89,10,Debit
2023-01-04T18:00:00,North,Books,Product_90,24.83,20,CUST_90,5,Cash
2023-01-04T19:00:00,North,Electronics,Product_91,349.42,39,CUST_91,15,Credit
2023-01-04T20:00:00,West,Electronics,Product_92,905.01,16,CUST_92,15,Credit
2023-01-04T21:00:00,North,Electronics,Product_93,970.79,2,CUST_93,5,Credit
2023-01-04T22:00:00,South,Clothing,Product_94,539.92,41,CUST_94,5,Mobile
2023-01-04T23:00:00,South,Electronics,Product_95,463.76,15,CUST_95,10,Credit
2023-01-05T00:00:00,North,Books,Product_96,236.17,5,CUST_96,0,Credit
2023-01-05T01:00:00,East,Food,Product_97,646.45,6,CUST_97,10,Mobile
2023-01-05T02:00:00,North,Food,Product_98,608.31,24,CUST_98,5,Debit
2023-01-05T03:00:00,West,Electronics,Product_99,960.04,14,CUST_99,15,Cash
2023-01-05T04:00:00,North,Books,Product_0,257.88,22,CUST_100,20,Debit
2023-01-05T05:00:00,North,Electronics,Product_1,947.42,37,CUST_101,10,Credit
2023-01-05T06:00:00,East,Food,Product_2,54.75,25,CUST_102,5,Cash
2023-01-05T07:00:00,North,Electronics,Product_3,668.94,19,CUST_103,15,Cash
2023-01-05T08:00:00,South,Books,Product_4,842.04,42,CUST_104,10,Debit
2023-01-05T09:00:00,South,Food,Product_5,988.63,20,CUST_105,10,Cash
2023-01-05T10:00:00,North,Electronics,Product_6,175.07,7,CUST_106,15,Mobile
2023-01-05T11:00:00,East,Books,Product_7,980.08,19,CUST_107,15,Credit
2023-01-05T12:00:00,North,Books,Product_8,532.61,5,CUST_108,15,Credit
2023-01-05T13:00:00,North,Electronics,Product_9,821.2,28,CUST_109,0,Mobile
2023-01-05T14:00:00,East,Books,Product_10,584.51,43,CUST_110,15,Debit
