track_id,track_popularity_sum,track_popularity_avg,track_popularity_min,track_popularity_max,track_popularity_count,artist_followers_sum,artist_followers_avg,artist_followers_min,artist_followers_max,artist_followers_count
5a2a13DODkOuPxRdl07Rtf,44,44.0,44,44,1,60619,60619.0,60619,60619,1
1ZA9k26vrQG6MfRSsbifk6,53,53.0,53,53,1,1866,1866.0,1866,1866,1
3OaR8YS7CCELb4nzDcmxMw,12,12.0,12,12,1,17560,17560.0,17560,17560,1
4WFgvKVfEhb3IUAFGrutTR,89,89.0,89,89,1,844558,844558.0,844558,844558,1
46cW6zufU9Woo11TLs2i6X,61,61.0,61,61,1,299896,299896.0,299896,299896,1
4liwMRxfSCwGxSyF8beoS1,41,41.0,41,41,1,21748,21748.0,21748,21748,1
3OxL6MuctgZp1e0zxoAZhH,68,68.0,68,68,1,22675640,2.267564E7,22675640,22675640,1
6WO7IDGLakjO38lsvI2gHB,69,69.0,69,69,1,7045466,7045466.0,7045466,7045466,1
4tXlm992qvevZGLxNg9wms,62,62.0,62,62,1,249255,249255.0,249255,249255,1
6W9l02gRsXVxzIuQC1oc1X,77,77.0,77,77,1,49083617,4.9083617E7,49083617,49083617,1
4unEKanhrUiSOMqja8Euw5,45,45.0,45,45,1,394210,394210.0,394210,394210,1
2t72CxYehpJ02QAfMoTSDq,34,34.0,34,34,1,226311,226311.0,226311,226311,1
00WLowvlN5cjkYpQV6pjo4,78,78.0,78,78,1,10642618,1.0642618E7,10642618,10642618,1
7IBLt4Qarf4JDLxIQDv2O5,54,54.0,54,54,1,17326256,1.7326256E7,17326256,17326256,1
6TpOpsgXwMvm0bSkdq27EC,12,12.0,12,12,1,1320025,1320025.0,1320025,1320025,1
7AYP21Q4qnxw2WxETEvSRb,59,59.0,59,59,1,12425448,1.2425448E7,12425448,12425448,1
46Ykbossnav7MND8qCJcGR,29,29.0,29,29,1,175835,175835.0,175835,175835,1
7kt9e9LFSpN1zQtYEl19o1,75,75.0,75,75,1,145396321,1.45396321E8,145396321,145396321,1
0DiDStADDVh3SvAsoJAFMk,72,72.0,72,72,1,7761454,7761454.0,7761454,7761454,1
0WdR2AyLW1Drd3OUdwezM0,74,74.0,74,74,1,107389514,1.07389514E8,107389514,107389514,1
5ow0sNF1zSqp71Ix5jEXWU,2,2.0,2,2,1,97875,97875.0,97875,97875,1
2BgEsaKNfHUdlh97KmvFyo,78,78.0,78,78,1,12845551,1.2845551E7,12845551,12845551,1
7F9vK8hNFMml4GtHsaXui6,63,63.0,63,63,1,7077085,7077085.0,7077085,7077085,1
7biFQvzeTWrVn81dEqFqRX,37,37.0,37,37,1,25022,25022.0,25022,25022,1
3S4px9f4lceWdKf0gWciFu,68,68.0,68,68,1,30541347,3.0541347E7,30541347,30541347,1
1W7zkKgRv9mrLbfdQ8XyH3,76,76.0,76,76,1,8661889,8661889.0,8661889,8661889,1
12fERk43aXv1bxuvuFHZgA,38,38.0,38,38,1,111922,111922.0,111922,111922,1
2FNPJWVdGxYhWaotd6rULS,56,56.0,56,56,1,41176723,4.1176723E7,41176723,41176723,1
3ArYVrRb0lDBLzuJJqIXzC,55,55.0,55,55,1,12275134,1.2275134E7,12275134,12275134,1
7ehOF430eA6pg8rsOG2DRN,41,41.0,41,41,1,2918550,2918550.0,2918550,2918550,1
5HxyJa6E8OXdYKKfufrbKE,45,45.0,45,45,1,12274170,1.227417E7,12274170,12274170,1
1K01nmx3aMH7pkDB7O6rS9,48,48.0,48,48,1,90075,90075.0,90075,90075,1
2WaOQWSv0D1tZNxyLvnGAI,54,54.0,54,54,1,1337454,1337454.0,1337454,1337454,1
7ofaLUVPCwrPrKY6Rk6c0b,65,65.0,65,65,1,21591569,2.1591569E7,21591569,21591569,1
3JvrhDOgAt6p7K8mDyZwRd,10,10.0,10,10,1,3482109,3482109.0,3482109,3482109,1
0NfwNHAyi4s9HVes4JkaXA,39,39.0,39,39,1,38385499,3.8385499E7,38385499,38385499,1
5UY3Vzkc5INzJ3wBJm5FlD,45,45.0,45,45,1,1105909,1105909.0,1105909,1105909,1
7xVLFuuYdAvcTfcP3IG3dS,65,65.0,65,65,1,4287336,4287336.0,4287336,4287336,1
4vz3UReBbxyPuVqgIjTCeA,48,48.0,48,48,1,112995439,1.12995439E8,112995439,112995439,1
3AGOgQzp0YcPH41u9p7dOp,59,59.0,59,59,1,2444220,2444220.0,2444220,2444220,1
4vVTI94F9uJ8lHNDWKv0i2,79,79.0,79,79,1,3769513,3769513.0,3769513,3769513,1
6nRQHhMINUm8rjGgpdkBYH,52,52.0,52,52,1,1553110,1553110.0,1553110,1553110,1
3850dYVgOFIXJh5U4BFEWH,78,78.0,78,78,1,8794984,8794984.0,8794984,8794984,1
3RlsVPIIs5KFhLFhxZ4iDF,65,65.0,65,65,1,7846032,7846032.0,7846032,7846032,1
5IVuqXILoxVWvWEPm82Jxr,78,78.0,78,78,1,41176723,4.1176723E7,41176723,41176723,1
2FtttuNvgYjTT03FKCHlG8,53,53.0,53,53,1,2195283,2195283.0,2195283,2195283,1
4HeCFqiB1rBqGqvE10rF1a,66,66.0,66,66,1,107389514,1.07389514E8,107389514,107389514,1
280erC1K7sdT9ngrmIW3Fl,36,36.0,36,36,1,4162,4162.0,4162,4162,1
3dIJ5WV6Rog364UqLbBP5R,28,28.0,28,28,1,290,290.0,290,290,1
4zddyNQewMTFOsMnQ8fCv2,49,49.0,49,49,1,9375,9375.0,9375,9375,1
7dHblXsJTRemgyIvFNJE7t,71,71.0,71,71,1,25957976,2.5957976E7,25957976,25957976,1
0szmDue1FCIpLC9SBs7fbU,66,66.0,66,66,1,2569728,2569728.0,2569728,2569728,1
4qGE5Yh8hOg31TKlKBOQR5,28,28.0,28,28,1,3070,3070.0,3070,3070,1
5q0EXnBYyeCdXD72FzJxH0,74,74.0,74,74,1,46891061,4.6891061E7,46891061,46891061,1
3eCnYztoiJj5XC8A7SAXLA,42,42.0,42,42,1,41266350,4.126635E7,41266350,41266350,1
5UkqH9t76GxI48YHA0thsy,48,48.0,48,48,1,107401919,1.07401919E8,107401919,107401919,1
3XB5uhhlYSnkxpSihkNQwh,70,70.0,70,70,1,60358474,6.0358474E7,60358474,60358474,1
2xMY0vcPCP5GHHqom5i6Gl,56,56.0,56,56,1,1719665,1719665.0,1719665,1719665,1
5MZTbo1le4oNXF1EedvzKC,15,15.0,15,15,1,11720,11720.0,11720,11720,1
0kRU3miiIJCzGkviEwU90m,47,47.0,47,47,1,1896,1896.0,1896,1896,1
22VtvEbttc3y0MuekCm7Sb,45,45.0,45,45,1,1605047,1605047.0,1605047,1605047,1
4bt7eqP7mfWduRBKEpCAzM,71,71.0,71,71,1,9249502,9249502.0,9249502,9249502,1
1U38o4k2hNJ4m26BMZRPEi,22,22.0,22,22,1,8656,8656.0,8656,8656,1
0VgeoGrGRgHnfGUzaNbXN6,39,39.0,39,39,1,3315988,3315988.0,3315988,3315988,1
14Bcv6siTBPw3TlP84dasC,0,0.0,0,0,1,2759302,2759302.0,2759302,2759302,1
4kTliHBy7w2SOMtm8qMmOW,54,54.0,54,54,1,1943863,1943863.0,1943863,1943863,1
7kDUspsoYfLkWnZR7qwHZl,73,73.0,73,73,1,5642365,5642365.0,5642365,5642365,1
4GE0As8SVSjCMVYkRaaWwJ,47,47.0,47,47,1,46886554,4.6886554E7,46886554,46886554,1
6V9fHiv84WlVTg7CSnIVY2,0,0.0,0,0,1,22394475,2.2394475E7,22394475,22394475,1
4sMJLV1RGANrF5XNNL0VfM,24,24.0,24,24,1,84908,84908.0,84908,84908,1
08unC8N1V1dEcqiyi06g6W,58,58.0,58,58,1,467896,467896.0,467896,467896,1
6GvwPnXoM5HARQYcQvYkbU,3,3.0,3,3,1,74230,74230.0,74230,74230,1
41a7dZcq30Ss5kPMayWRV0,65,65.0,65,65,1,103094105,1.03094105E8,103094105,103094105,1
7ef4DlsgrMEH11cDZd32M6,79,79.0,79,79,1,23078931,2.3078931E7,23078931,23078931,1
55n9yjI6qqXh5F2mYvUc2y,81,81.0,81,81,1,24111322,2.4111322E7,24111322,24111322,1
032BS9hTLOX7CTJgssw3Te,23,23.0,23,23,1,1459,1459.0,1459,1459,1
2qLcJOLrh6Djda4uLbldSA,57,57.0,57,57,1,103094105,1.03094105E8,103094105,103094105,1
563SfWAHJs4FBZMkRN0IFN,71,71.0,71,71,1,66720643,6.6720643E7,66720643,66720643,1
5J4WHWFvEWRd2FBVhcTcmi,64,64.0,64,64,1,68997177,6.8997177E7,68997177,68997177,1
1hc31O4qhv2tnSnW1290KC,57,57.0,57,57,1,2338518,2338518.0,2338518,2338518,1
4KmyK4XrM3tbfhLrjobeap,44,44.0,44,44,1,104539036,1.04539036E8,104539036,104539036,1
1zvQt99d5oTkEQLmSoO1yu,59,59.0,59,59,1,7506632,7506632.0,7506632,7506632,1
4f8VWnMzOIMpvlGojhLjkS,36,36.0,36,36,1,9782,9782.0,9782,9782,1
1NETMFXbLpbyMRDyVPEcVP,0,0.0,0,0,1,4777574,4777574.0,4777574,4777574,1
608a1wIsSd5KzMEqm1O7w3,72,72.0,72,72,1,12343335,1.2343335E7,12343335,12343335,1
1CZOrmHUUjeDP7N2B4Ba6S,2,2.0,2,2,1,42256604,4.2256604E7,42256604,42256604,1
0fwiyZecKNOALUwI7hxSAb,36,36.0,36,36,1,530174,530174.0,530174,530174,1
10Nmj3JCNoMeBQ87uw5j8k,79,79.0,79,79,1,23218829,2.3218829E7,23218829,23218829,1
7gF9RfiO8nBhFhBkLuiUrb,57,57.0,57,57,1,133868,133868.0,133868,133868,1
4NirETfurhjh8U9Y1l5U1S,1,1.0,1,1,1,39788275,3.9788275E7,39788275,39788275,1
0ttF21hZCPw2merE3GsHcP,19,19.0,19,19,1,104517308,1.04517308E8,104517308,104517308,1
2fTj7u4KEt7JfWQw4Qgj2J,42,42.0,42,42,1,6199,6199.0,6199,6199,1
4M8sRHq0TWbDjxprUzFPI1,46,46.0,46,46,1,7437933,7437933.0,7437933,7437933,1
7lZLhpkDzEtriJsC3CyAKE,43,43.0,43,43,1,2649787,2649787.0,2649787,2649787,1
3efgVA2yxnPiMqfT3y04Rd,34,34.0,34,34,1,173092,173092.0,173092,173092,1
4Q9ExJGFgL9Jd9kmYH3nXs,76,76.0,76,76,1,9249502,9249502.0,9249502,9249502,1
65KethfXjEDQSUySJqYeqz,20,20.0,20,20,1,2057,2057.0,2057,2057,1
0UYnhUfnUj5adChuAXvLUB,5,5.0,5,5,1,1641193,1641193.0,1641193,1641193,1
3zMDGj4D8ogaYgAIZPeU7S,70,70.0,70,70,1,145489371,1.45489371E8,145489371,145489371,1
0bLjwGh7rtnDZrwbmF31ge,43,43.0,43,43,1,241463,241463.0,241463,241463,1
6ZjuBJah2xFEl4z3X20di3,1,1.0,1,1,1,185287,185287.0,185287,185287,1
3sy0GshTtIcovnmWxsXBqN,27,27.0,27,27,1,212,212.0,212,212,1
4RF4iaYoM1XBbdvmC6zRtD,73,73.0,73,73,1,177128,177128.0,177128,177128,1
7fZBQnc0zXwVybgCIrQQil,76,76.0,76,76,1,277287,277287.0,277287,277287,1
2c6xRsQBv7pynuhYhWoHxo,59,59.0,59,59,1,66720643,6.6720643E7,66720643,66720643,1
2Z8yfpFX0ZMavHkcIeHiO1,66,66.0,66,66,1,45706269,4.5706269E7,45706269,45706269,1
7zw6nQHTwml1mVuQDf5V6k,67,67.0,67,67,1,2356803,2356803.0,2356803,2356803,1
6AGOKlMZWLCaEJGnaROtF9,67,67.0,67,67,1,152294,152294.0,152294,152294,1
5I2rnqzPEwhZyuiELA0hB1,40,40.0,40,40,1,344334,344334.0,344334,344334,1
0hVXuCcriWRGvwMV1r5Yn9,68,68.0,68,68,1,13561,13561.0,13561,13561,1
1TQXIltqoZ5XXyfCbAeSQQ,76,76.0,76,76,1,1758258,1758258.0,1758258,1758258,1
4T652DlATVHe0jdLKaN3Bw,68,68.0,68,68,1,107374593,1.07374593E8,107374593,107374593,1
7pBsquIkbED6W6uSQJGbkn,55,55.0,55,55,1,2030506,2030506.0,2030506,2030506,1
4ZLzoOkj0MPWrTLvooIuaa,74,74.0,74,74,1,898530,898530.0,898530,898530,1
4IO2X2YoXoUMv0M2rwomLC,75,75.0,75,75,1,15026799,1.5026799E7,15026799,15026799,1
7hDVYcQq6MxkdJGweuCtl9,82,82.0,82,82,1,118692183,1.18692183E8,118692183,118692183,1
1xToKQU0oWjpHE1GJiozHv,45,45.0,45,45,1,1060491,1060491.0,1060491,1060491,1
7CmJQKB7nW4yCuA0hhc4nc,42,42.0,42,42,1,3029394,3029394.0,3029394,3029394,1
4RebD589eKGktAiWDow2wr,0,0.0,0,0,1,346,346.0,346,346,1
4AewKenHXKBt643p473xCk,65,65.0,65,65,1,1373180,1373180.0,1373180,1373180,1
4WGGsrcWiVF7XQTOE3xStS,30,30.0,30,30,1,321245,321245.0,321245,321245,1
1ejtHfSXQwvaAU7F82FXww,56,56.0,56,56,1,1063656,1063656.0,1063656,1063656,1
0lizgQ7Qw35od7CYaoMBZb,74,74.0,74,74,1,107389514,1.07389514E8,107389514,107389514,1
5jx8tCxiO0uIbo2uNia23K,62,62.0,62,62,1,38400585,3.8400585E7,38400585,38400585,1
6cpk00i5TxCqSeqNi2HuIe,79,79.0,79,79,1,45764832,4.5764832E7,45764832,45764832,1
0p1BcEcYVO3uk4KDf3gzkY,63,63.0,63,63,1,1214595,1214595.0,1214595,1214595,1
38iU2jg98IZZEIJPrP7aWD,65,65.0,65,65,1,17766757,1.7766757E7,17766757,17766757,1
6J6fw5zuz7rTKiLIyNOm7T,27,27.0,27,27,1,871643,871643.0,871643,871643,1
7amhfTaV9f9u6gPRtD6kPT,0,0.0,0,0,1,6157207,6157207.0,6157207,6157207,1
524wvipGqxPKYWxkjf9y46,71,71.0,71,71,1,103039388,1.03039388E8,103039388,103039388,1
1GEBsLDvJGw7kviySRI6GX,73,73.0,73,73,1,145443567,1.45443567E8,145443567,145443567,1
48X4D1FYOShPz2VF3YdfCF,68,68.0,68,68,1,13831380,1.383138E7,13831380,13831380,1
1ixbwbeBi5ufN4noUKmW5a,78,78.0,78,78,1,1475258,1475258.0,1475258,1475258,1
7cxOL3nvmqd6w811wOlWT1,62,62.0,62,62,1,1296424,1296424.0,1296424,1296424,1
06UPCXzhIsXnceSXmKLMEY,55,55.0,55,55,1,4291598,4291598.0,4291598,4291598,1
37cb7mzkQKksGm0noGDXeh,53,53.0,53,53,1,6445900,6445900.0,6445900,6445900,1
1FoUsSi9BCTlNt2Vd7V8XA,60,60.0,60,60,1,13839280,1.383928E7,13839280,13839280,1
4Wgj6jzoI2gYlumXdYAB8U,59,59.0,59,59,1,13822540,1.382254E7,13822540,13822540,1
6GuCrDofEO7CgigVzHIFe9,33,33.0,33,33,1,4971141,4971141.0,4971141,4971141,1
51cwCNBjJZIPwHimgiMDvm,18,18.0,18,18,1,23391272,2.3391272E7,23391272,23391272,1
